A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
4.762,4.762,14.286,4.762,4.762,0,0,0,0,0,14.286,4.762,14.286,9.524,4.762,9.524,4.762,0,0,4.762,1
9.524,4.762,4.762,4.762,4.762,4.762,0,0,0,4.762,9.524,4.762,0,4.762,9.524,19.048,0,9.524,4.762,0,1
4.762,4.762,9.524,9.524,0,0,9.524,0,14.286,0,4.762,4.762,4.762,4.762,0,4.762,4.762,0,4.762,14.286,1
4.762,4.762,14.286,9.524,9.524,0,0,0,9.524,0,14.286,9.524,0,4.762,4.762,4.762,4.762,0,0,4.762,1
9.524,4.762,4.762,9.524,9.524,0,0,0,9.524,4.762,4.762,0,0,14.286,0,0,14.286,0,9.524,4.762,1
0,14.286,9.524,0,0,4.762,0,4.762,4.762,0,14.286,4.762,0,4.762,0,0,14.286,0,14.286,9.524,1
4.762,4.762,4.762,0,0,0,0,0,14.286,4.762,33.333,9.524,0,0,0,4.762,9.524,0,9.524,0,1
4.762,9.524,9.524,9.524,0,0,9.524,4.762,9.524,0,9.524,0,9.524,4.762,0,9.524,4.762,0,4.762,0,1
4.762,4.762,0,4.762,4.762,0,0,0,14.286,4.762,14.286,0,4.762,14.286,9.524,9.524,0,0,9.524,0,1
0,14.286,9.524,0,0,4.762,4.762,4.762,9.524,4.762,4.762,9.524,14.286,0,0,0,9.524,0,9.524,0,1
4.762,4.762,4.762,23.81,4.762,0,4.762,4.762,14.286,0,9.524,4.762,4.762,0,4.762,9.524,0,0,0,0,1
4.762,4.762,4.762,4.762,9.524,14.286,9.524,0,0,0,9.524,4.762,4.762,4.762,9.524,4.762,4.762,0,0,4.762,1
0,4.762,4.762,0,4.762,9.524,0,4.762,4.762,4.762,9.524,9.524,14.286,9.524,4.762,0,4.762,0,9.524,0,1
9.524,9.524,0,0,0,4.762,4.762,4.762,0,0,4.762,4.762,4.762,4.762,4.762,14.286,9.524,0,14.286,4.762,1
9.524,4.762,4.762,4.762,4.762,0,9.524,0,9.524,0,14.286,0,4.762,9.524,4.762,0,9.524,0,4.762,4.762,1
14.286,4.762,9.524,4.762,4.762,4.762,9.524,4.762,9.524,0,9.524,0,9.524,0,4.762,0,4.762,0,4.762,0,1
4.762,9.524,14.286,4.762,0,0,9.524,4.762,9.524,4.762,4.762,4.762,4.762,0,4.762,9.524,0,4.762,4.762,0,1
19.048,4.762,23.81,0,0,4.762,0,0,9.524,0,14.286,0,0,0,4.762,4.762,4.762,4.762,4.762,0,1
0,4.762,0,4.762,14.286,0,4.762,0,9.524,4.762,9.524,9.524,4.762,9.524,9.524,0,0,0,14.286,0,1
0,4.762,14.286,14.286,14.286,0,4.762,0,4.762,0,0,4.762,0,14.286,4.762,0,0,0,19.048,0,1
28.571,4.762,4.762,4.762,28.571,0,0,0,0,0,0,4.762,0,19.048,0,4.762,0,0,0,0,1
14.286,4.762,23.81,0,0,0,0,4.762,14.286,0,19.048,0,0,4.762,4.762,0,4.762,0,0,4.762,1
4.762,4.762,14.286,0,0,0,0,0,9.524,0,23.81,4.762,4.762,4.762,0,4.762,9.524,0,9.524,4.762,1
4.762,4.762,14.286,9.524,0,0,0,0,9.524,0,19.048,0,4.762,0,14.286,4.762,4.762,4.762,0,4.762,1
14.286,4.762,23.81,0,4.762,0,4.762,0,14.286,0,9.524,0,4.762,0,0,4.762,0,0,14.286,0,1
0,4.762,14.286,4.762,0,0,4.762,0,4.762,0,14.286,9.524,14.286,0,14.286,4.762,9.524,0,0,0,1
4.762,4.762,0,9.524,9.524,4.762,0,4.762,4.762,0,28.571,0,0,0,4.762,9.524,0,0,14.286,0,1
9.524,4.762,4.762,9.524,4.762,0,14.286,0,14.286,0,9.524,4.762,0,4.762,0,4.762,4.762,0,9.524,0,1
4.762,4.762,14.286,0,4.762,0,0,0,0,0,14.286,4.762,0,4.762,9.524,9.524,9.524,0,19.048,0,1
9.524,4.762,28.571,4.762,0,0,4.762,0,0,0,14.286,0,9.524,0,0,19.048,4.762,0,0,0,1
4.762,9.524,19.048,0,0,4.762,0,0,9.524,9.524,23.81,0,0,0,4.762,9.524,0,0,4.762,0,1
14.286,4.762,0,9.524,14.286,0,4.762,0,4.762,0,4.762,0,14.286,4.762,4.762,4.762,4.762,0,9.524,0,1
0,4.762,4.762,0,0,0,4.762,0,9.524,0,0,4.762,9.524,9.524,14.286,19.048,9.524,0,4.762,4.762,1
0,4.762,9.524,14.286,4.762,0,0,0,23.81,0,4.762,0,0,4.762,19.048,4.762,4.762,0,4.762,0,1
19.048,9.524,0,0,9.524,4.762,9.524,4.762,9.524,0,9.524,0,4.762,9.524,0,0,0,0,9.524,0,1
9.524,4.762,0,4.762,4.762,0,0,0,4.762,0,9.524,0,4.762,14.286,14.286,19.048,0,0,9.524,0,1
0,4.762,9.524,4.762,33.333,0,0,0,0,0,4.762,0,0,14.286,9.524,9.524,4.762,0,4.762,0,1
4.762,4.762,4.762,9.524,4.762,4.762,0,4.762,4.762,9.524,0,0,14.286,0,19.048,0,14.286,0,0,0,1
28.571,4.762,14.286,0,4.762,4.762,0,0,4.762,0,9.524,0,4.762,19.048,4.762,0,0,0,0,0,1
0,9.524,4.762,14.286,9.524,0,19.048,0,9.524,0,0,0,0,9.524,9.524,14.286,0,0,0,0,1
9.524,4.762,14.286,0,9.524,0,9.524,0,9.524,0,9.524,4.762,4.762,0,4.762,4.762,0,0,14.286,0,1
4.762,4.762,9.524,0,4.762,4.762,9.524,4.762,14.286,4.762,4.762,9.524,4.762,4.762,4.762,4.762,0,0,4.762,0,1
23.81,4.762,0,4.762,9.524,0,4.762,0,9.524,0,4.762,0,4.762,9.524,4.762,0,9.524,0,9.524,0,1
4.762,9.524,9.524,0,0,0,14.286,0,9.524,0,4.762,4.762,0,9.524,9.524,4.762,9.524,0,4.762,4.762,1
4.762,19.048,9.524,4.762,4.762,0,4.762,0,4.762,0,0,14.286,0,4.762,14.286,0,0,4.762,9.524,0,1
14.286,4.762,4.762,4.762,4.762,0,0,4.762,9.524,0,14.286,4.762,4.762,0,4.762,9.524,0,9.524,0,4.762,1
4.762,4.762,19.048,4.762,4.762,0,4.762,4.762,19.048,0,14.286,4.762,0,0,4.762,0,0,0,9.524,0,1
4.762,4.762,19.048,0,0,0,14.286,0,4.762,0,4.762,9.524,9.524,0,4.762,4.762,4.762,0,9.524,4.762,1
9.524,4.762,0,4.762,4.762,4.762,9.524,0,4.762,0,19.048,4.762,4.762,0,4.762,14.286,0,0,9.524,0,1
9.524,4.762,0,0,9.524,4.762,0,0,14.286,0,4.762,4.762,0,0,33.333,0,9.524,0,4.762,0,1
9.524,4.762,0,4.762,9.524,0,4.762,9.524,0,4.762,14.286,0,0,0,0,14.286,14.286,0,4.762,4.762,1
14.286,4.762,9.524,4.762,9.524,9.524,0,0,14.286,0,0,9.524,0,4.762,0,4.762,4.762,0,9.524,0,1
4.762,4.762,19.048,9.524,14.286,0,4.762,0,4.762,0,0,0,4.762,14.286,4.762,4.762,9.524,0,0,0,1
0,4.762,9.524,4.762,14.286,4.762,4.762,4.762,4.762,0,14.286,0,0,0,19.048,4.762,4.762,0,0,4.762,1
4.762,4.762,9.524,0,9.524,4.762,0,4.762,9.524,0,19.048,0,4.762,0,0,9.524,4.762,0,14.286,0,1
0,9.524,14.286,9.524,0,0,9.524,0,14.286,0,14.286,0,0,4.762,0,9.524,4.762,0,4.762,4.762,1
14.286,14.286,4.762,0,0,0,4.762,0,4.762,0,4.762,0,19.048,0,4.762,9.524,4.762,0,9.524,4.762,1
9.524,14.286,0,0,14.286,0,4.762,0,9.524,0,4.762,0,4.762,9.524,4.762,9.524,4.762,0,0,9.524,1
4.762,4.762,9.524,9.524,9.524,4.762,19.048,0,0,0,9.524,0,0,4.762,0,14.286,4.762,0,4.762,0,1
0,4.762,4.762,4.762,9.524,4.762,4.762,0,4.762,0,14.286,4.762,0,4.762,0,14.286,19.048,0,0,4.762,1
0,4.762,9.524,9.524,0,4.762,4.762,0,9.524,4.762,4.762,0,0,0,0,23.81,14.286,0,9.524,0,1
0,4.762,9.524,14.286,4.762,4.762,9.524,0,9.524,0,0,4.762,0,0,4.762,4.762,23.81,0,4.762,0,1
14.286,4.762,19.048,0,0,0,0,0,9.524,4.762,14.286,4.762,14.286,0,4.762,4.762,0,0,4.762,0,1
14.286,9.524,0,19.048,9.524,0,4.762,0,4.762,0,9.524,0,9.524,0,0,4.762,0,4.762,9.524,0,1
4.762,4.762,9.524,0,0,4.762,0,0,9.524,14.286,9.524,9.524,14.286,4.762,4.762,4.762,0,0,4.762,0,1
14.286,9.524,0,0,9.524,0,0,0,0,0,0,4.762,4.762,9.524,9.524,9.524,9.524,0,14.286,4.762,1
4.762,4.762,9.524,9.524,9.524,0,0,0,4.762,0,9.524,9.524,9.524,4.762,0,4.762,0,0,19.048,0,1
9.524,9.524,0,4.762,9.524,9.524,0,4.762,14.286,0,0,0,0,9.524,14.286,0,0,0,14.286,0,1
4.762,9.524,4.762,9.524,9.524,9.524,0,0,9.524,4.762,4.762,4.762,0,4.762,9.524,4.762,0,0,4.762,4.762,1
4.762,4.762,0,9.524,0,4.762,4.762,4.762,4.762,0,9.524,4.762,0,9.524,19.048,0,9.524,0,4.762,4.762,1
4.762,4.762,14.286,4.762,9.524,0,0,0,4.762,0,9.524,0,4.762,9.524,0,9.524,9.524,0,4.762,9.524,1
9.524,4.762,14.286,4.762,0,0,4.762,0,9.524,4.762,9.524,4.762,0,4.762,0,9.524,4.762,0,4.762,9.524,1
0,4.762,9.524,4.762,4.762,0,14.286,0,19.048,0,4.762,0,0,4.762,9.524,0,9.524,0,9.524,4.762,1
4.762,4.762,4.762,9.524,9.524,0,4.762,0,19.048,0,14.286,4.762,4.762,0,0,4.762,4.762,0,9.524,0,1
4.762,4.762,14.286,0,9.524,4.762,0,0,4.762,0,4.762,0,0,19.048,4.762,4.762,0,0,14.286,9.524,1
9.524,4.762,0,14.286,0,4.762,14.286,0,0,0,9.524,0,4.762,9.524,4.762,9.524,0,0,9.524,4.762,1
9.524,4.762,4.762,0,0,4.762,9.524,0,9.524,0,9.524,9.524,4.762,0,9.524,9.524,4.762,4.762,0,4.762,1
0,4.762,9.524,0,9.524,19.048,4.762,0,4.762,0,9.524,0,4.762,4.762,9.524,9.524,0,0,9.524,0,1
0,4.762,4.762,9.524,4.762,0,0,4.762,9.524,4.762,14.286,0,0,4.762,9.524,9.524,0,4.762,4.762,9.524,1
9.524,4.762,0,4.762,9.524,4.762,0,4.762,0,0,19.048,4.762,14.286,4.762,0,4.762,0,0,9.524,4.762,1
19.048,4.762,9.524,0,14.286,0,4.762,0,4.762,0,4.762,0,4.762,9.524,4.762,14.286,0,0,4.762,0,1
9.524,4.762,9.524,4.762,4.762,4.762,0,0,9.524,0,9.524,0,4.762,0,14.286,4.762,4.762,0,9.524,4.762,1
9.524,4.762,0,0,23.81,0,0,0,4.762,0,0,0,0,14.286,19.048,4.762,14.286,0,4.762,0,1
9.524,4.762,4.762,4.762,4.762,0,9.524,0,4.762,0,9.524,0,0,4.762,4.762,4.762,4.762,9.524,4.762,14.286,1
0,4.762,4.762,0,14.286,4.762,4.762,0,4.762,0,9.524,9.524,0,9.524,19.048,0,0,0,9.524,4.762,1
4.762,4.762,14.286,4.762,4.762,0,4.762,0,14.286,0,0,9.524,0,0,19.048,4.762,0,0,14.286,0,1
0,4.762,9.524,4.762,14.286,0,0,0,0,4.762,9.524,0,4.762,14.286,14.286,4.762,9.524,0,4.762,0,1
0,4.762,14.286,4.762,9.524,9.524,4.762,0,9.524,4.762,14.286,4.762,0,0,4.762,4.762,4.762,0,0,4.762,1
4.762,4.762,14.286,0,4.762,0,14.286,0,9.524,4.762,4.762,9.524,0,0,4.762,9.524,4.762,0,4.762,4.762,1
9.524,4.762,19.048,0,4.762,0,9.524,4.762,4.762,0,14.286,0,0,4.762,4.762,9.524,4.762,0,4.762,0,1
4.762,4.762,4.762,0,9.524,4.762,4.762,0,9.524,0,9.524,9.524,0,9.524,0,0,14.286,0,14.286,0,1
19.048,4.762,9.524,4.762,4.762,4.762,0,0,0,0,14.286,0,4.762,4.762,19.048,9.524,0,0,0,0,1
14.286,4.762,9.524,4.762,9.524,0,0,0,4.762,0,0,0,4.762,9.524,33.333,0,0,4.762,0,0,1
9.524,4.762,9.524,4.762,4.762,0,0,4.762,9.524,9.524,9.524,4.762,0,0,4.762,9.524,9.524,0,0,4.762,1
42.857,4.762,14.286,0,4.762,0,0,0,0,0,4.762,4.762,0,9.524,0,4.762,4.762,0,4.762,0,1
9.524,4.762,14.286,4.762,14.286,0,4.762,0,0,0,14.286,0,0,9.524,4.762,4.762,4.762,0,9.524,0,1
14.286,4.762,14.286,0,0,0,4.762,0,4.762,0,9.524,0,9.524,4.762,4.762,19.048,4.762,0,4.762,0,1
9.524,9.524,0,0,4.762,4.762,0,0,0,0,19.048,0,0,9.524,14.286,14.286,9.524,0,4.762,0,0
23.81,4.762,0,0,4.762,0,0,4.762,0,4.762,19.048,4.762,0,0,0,4.762,14.286,0,14.286,0,0
14.286,4.762,9.524,19.048,0,0,0,0,4.762,0,23.81,0,0,4.762,0,9.524,4.762,0,4.762,0,0
0,4.762,4.762,9.524,0,4.762,0,0,9.524,4.762,14.286,9.524,4.762,4.762,9.524,0,4.762,0,14.286,0,0
9.524,4.762,4.762,9.524,0,4.762,9.524,0,4.762,4.762,9.524,9.524,0,9.524,4.762,4.762,0,0,9.524,0,0
9.524,4.762,4.762,4.762,4.762,0,14.286,0,4.762,4.762,9.524,0,0,0,0,14.286,9.524,0,9.524,4.762,0
0,9.524,14.286,9.524,0,0,0,0,14.286,0,14.286,0,0,9.524,0,9.524,4.762,0,4.762,9.524,0
19.048,4.762,0,9.524,0,0,4.762,4.762,9.524,0,4.762,4.762,4.762,4.762,0,4.762,4.762,0,14.286,4.762,0
4.762,4.762,9.524,4.762,4.762,4.762,14.286,0,4.762,0,19.048,9.524,4.762,0,0,0,9.524,4.762,0,0,0
0,4.762,4.762,14.286,4.762,4.762,9.524,0,4.762,0,9.524,9.524,4.762,4.762,4.762,4.762,4.762,4.762,0,4.762,0
9.524,4.762,9.524,9.524,0,0,4.762,4.762,4.762,0,4.762,0,4.762,9.524,9.524,14.286,4.762,0,4.762,0,0
19.048,4.762,9.524,0,4.762,0,9.524,0,9.524,0,0,0,4.762,0,4.762,19.048,0,0,14.286,0,0
9.524,4.762,9.524,4.762,0,0,9.524,0,4.762,0,14.286,0,9.524,0,9.524,4.762,9.524,0,9.524,0,0
4.762,4.762,14.286,14.286,0,0,9.524,0,4.762,0,14.286,9.524,0,4.762,9.524,0,4.762,0,0,4.762,0
4.762,4.762,9.524,4.762,4.762,0,14.286,9.524,0,0,19.048,0,0,4.762,9.524,0,4.762,0,4.762,4.762,0
0,4.762,4.762,4.762,0,14.286,9.524,0,4.762,0,14.286,14.286,0,4.762,4.762,0,0,0,14.286,4.762,0
4.762,4.762,4.762,0,4.762,0,4.762,0,4.762,0,9.524,9.524,4.762,9.524,9.524,4.762,4.762,0,4.762,14.286,0
4.762,4.762,9.524,0,4.762,4.762,4.762,4.762,9.524,0,4.762,9.524,0,9.524,4.762,4.762,4.762,0,9.524,4.762,0
14.286,14.286,4.762,0,9.524,0,4.762,0,4.762,0,4.762,0,9.524,0,4.762,9.524,4.762,0,4.762,9.524,0
9.524,9.524,9.524,4.762,9.524,4.762,4.762,0,0,0,4.762,0,4.762,4.762,9.524,9.524,4.762,0,4.762,4.762,0
9.524,9.524,9.524,4.762,9.524,4.762,4.762,0,4.762,0,4.762,0,4.762,4.762,9.524,4.762,4.762,0,4.762,4.762,0
0,4.762,9.524,28.571,0,4.762,0,0,9.524,0,4.762,0,0,14.286,4.762,4.762,4.762,0,0,9.524,0
9.524,4.762,14.286,23.81,4.762,4.762,4.762,0,19.048,0,9.524,0,0,0,0,4.762,0,0,0,0,0
9.524,4.762,4.762,0,9.524,9.524,9.524,0,4.762,0,4.762,4.762,0,9.524,0,14.286,4.762,4.762,0,4.762,0
9.524,4.762,4.762,0,9.524,4.762,9.524,0,9.524,0,9.524,4.762,0,9.524,4.762,9.524,4.762,0,0,4.762,0
4.762,4.762,9.524,0,14.286,0,9.524,4.762,9.524,0,0,4.762,0,9.524,0,4.762,9.524,0,9.524,4.762,0
4.762,4.762,0,0,14.286,0,0,0,14.286,0,4.762,14.286,4.762,4.762,4.762,0,9.524,0,14.286,4.762,0
9.524,4.762,0,0,4.762,4.762,9.524,4.762,9.524,0,9.524,4.762,4.762,14.286,4.762,0,4.762,0,9.524,0,0
4.762,4.762,0,4.762,9.524,0,4.762,0,0,0,9.524,4.762,0,9.524,19.048,0,9.524,0,14.286,4.762,0
9.524,4.762,9.524,4.762,0,0,14.286,0,14.286,0,4.762,0,0,9.524,4.762,4.762,9.524,0,9.524,0,0
0,4.762,0,14.286,0,4.762,0,4.762,4.762,4.762,0,0,9.524,4.762,14.286,4.762,4.762,0,19.048,4.762,0
0,4.762,9.524,4.762,9.524,0,0,4.762,19.048,9.524,9.524,0,4.762,14.286,0,0,4.762,0,4.762,0,0
0,4.762,4.762,9.524,9.524,14.286,9.524,0,4.762,0,4.762,4.762,0,14.286,4.762,4.762,4.762,4.762,0,0,0
4.762,4.762,0,14.286,0,0,9.524,0,0,0,9.524,9.524,19.048,14.286,0,0,0,4.762,9.524,0,0
9.524,4.762,9.524,14.286,0,4.762,4.762,0,14.286,0,0,14.286,0,9.524,4.762,4.762,4.762,0,0,0,0
0,4.762,4.762,19.048,4.762,9.524,9.524,0,19.048,0,0,9.524,0,4.762,0,4.762,0,0,4.762,4.762,0
0,4.762,0,4.762,9.524,9.524,9.524,0,14.286,9.524,0,4.762,4.762,4.762,0,0,9.524,0,9.524,4.762,0
0,4.762,9.524,0,9.524,0,0,0,19.048,0,9.524,4.762,0,9.524,9.524,9.524,9.524,0,0,4.762,0
14.286,4.762,0,14.286,0,0,4.762,4.762,0,4.762,9.524,0,0,0,9.524,4.762,14.286,4.762,9.524,0,0
0,4.762,9.524,9.524,9.524,9.524,0,4.762,0,4.762,19.048,4.762,0,4.762,0,0,9.524,0,9.524,0,0
0,4.762,4.762,9.524,4.762,0,4.762,4.762,9.524,0,9.524,0,0,4.762,0,14.286,14.286,0,9.524,4.762,0
4.762,4.762,4.762,4.762,9.524,4.762,9.524,0,4.762,4.762,19.048,0,9.524,9.524,0,0,0,0,9.524,0,0
4.762,4.762,0,14.286,0,0,0,0,9.524,0,19.048,9.524,9.524,0,9.524,4.762,0,0,9.524,4.762,0
0,4.762,4.762,4.762,4.762,0,4.762,4.762,14.286,4.762,9.524,4.762,0,9.524,9.524,9.524,4.762,0,4.762,0,0
0,4.762,9.524,4.762,0,0,0,4.762,9.524,4.762,0,0,0,19.048,4.762,19.048,9.524,0,9.524,0,0
4.762,4.762,4.762,9.524,4.762,0,0,0,4.762,4.762,4.762,9.524,9.524,4.762,0,19.048,4.762,4.762,0,4.762,0
0,9.524,0,0,0,9.524,0,4.762,4.762,4.762,14.286,0,0,14.286,4.762,23.81,0,0,9.524,0,0
23.81,4.762,0,9.524,9.524,4.762,0,0,14.286,4.762,0,0,0,9.524,0,9.524,4.762,0,4.762,0,0
4.762,4.762,9.524,14.286,4.762,4.762,4.762,4.762,0,0,9.524,9.524,0,4.762,9.524,4.762,4.762,0,4.762,0,0
0,9.524,19.048,4.762,19.048,4.762,4.762,0,4.762,0,4.762,0,0,9.524,4.762,0,9.524,0,4.762,0,0
4.762,9.524,14.286,4.762,28.571,0,0,0,4.762,0,0,0,4.762,4.762,4.762,9.524,4.762,0,4.762,0,0
4.762,9.524,9.524,4.762,14.286,0,0,0,0,0,4.762,0,4.762,9.524,19.048,14.286,4.762,0,0,0,0
0,14.286,9.524,4.762,9.524,0,0,0,0,4.762,4.762,0,4.762,14.286,19.048,9.524,4.762,0,0,0,0
0,9.524,14.286,4.762,4.762,0,0,0,4.762,4.762,4.762,0,4.762,14.286,14.286,9.524,4.762,4.762,0,0,0
14.286,4.762,9.524,0,9.524,9.524,4.762,0,14.286,0,4.762,0,4.762,14.286,4.762,0,4.762,0,0,0,0
4.762,4.762,0,9.524,0,4.762,0,4.762,0,0,19.048,0,23.81,4.762,4.762,14.286,4.762,0,0,0,0
4.762,4.762,4.762,0,9.524,9.524,0,4.762,9.524,4.762,9.524,4.762,4.762,4.762,0,9.524,4.762,4.762,0,4.762,0
4.762,4.762,23.81,9.524,4.762,0,0,4.762,4.762,0,4.762,4.762,4.762,4.762,4.762,4.762,4.762,0,9.524,0,0
14.286,9.524,0,9.524,9.524,4.762,4.762,0,4.762,0,4.762,0,4.762,4.762,0,9.524,0,4.762,14.286,0,0
14.286,4.762,14.286,4.762,0,9.524,0,0,4.762,0,19.048,0,14.286,4.762,0,0,4.762,0,4.762,0,0
0,4.762,9.524,0,9.524,4.762,9.524,9.524,4.762,0,9.524,4.762,4.762,0,4.762,14.286,4.762,0,4.762,0,0
0,4.762,4.762,4.762,0,4.762,0,4.762,4.762,4.762,4.762,0,9.524,9.524,4.762,9.524,0,4.762,14.286,9.524,0
0,4.762,4.762,0,0,4.762,0,4.762,0,0,4.762,0,14.286,14.286,19.048,0,4.762,4.762,14.286,4.762,0
4.762,4.762,0,0,4.762,4.762,4.762,4.762,19.048,9.524,4.762,0,4.762,0,14.286,14.286,4.762,0,0,0,0
9.524,4.762,38.095,14.286,4.762,0,4.762,0,0,4.762,0,0,0,4.762,0,0,4.762,0,9.524,0,0
